,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,CO2,MOT Expires,Interior Trim,Euro Status,VAT Qualifying
576,1 Series,Diesel,1.5L,Manual,"27,676 miles",5,114 bhp,2016 (66),70.6,Hatchback,ORANGE,2.0,Euro 6,£199,"£14,100",106 g/km,05-09-2022,,,
577,1 Series,Diesel,1.5L,Manual,"52,493 miles",5,114 bhp,2018 (68),51.4,Hatchback,BLACK,1.0,Euro 6,£199,"£14,000",114 g/km,13-11-2022,,,
578,1 Series,Diesel,1.5L,Manual,"43,651 miles",5,114 bhp,2019 (19),78.5,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£14,000",94 g/km,,,,
579,3 Series,Diesel,2.0L,Manual,"61,614 miles",4,161 bhp,2018 (18),72.4,Saloon,GREY,1.0,Euro 6,£199,"£14,000",102 g/km,23-06-2022,,,
580,1 Series,Petrol,1.5L,Manual,"35,078 miles",3,134 bhp,2017 (17),52.3,Hatchback,WHITE,2.0,Euro 6,£199,"£14,000",126 g/km,26-07-2021,,,
581,2 Series,Diesel,2.0L,Automatic,"56,822 miles",5,148 bhp,2016 (16),68.9,Hatchback,SILVER,2.0,Euro 6,£199,"£14,000",109 g/km,09-09-2022,,,
582,1 Series,Diesel,1.5L,Manual,"32,770 miles",5,114 bhp,2018 (68),78.5,Hatchback,SILVER,1.0,Euro 6,£199,"£14,000",94 g/km,29-09-2022,,,
583,3 Series,Diesel,2.0L,Manual,"57,690 miles",4,188 bhp,2016 (66),67.3,Saloon,ALPINE WHITE,,Euro 6,£199,"£14,000",111 g/km,12-09-2022,,,
584,3 Series,Diesel,2.0L,Manual,"46,834 miles",4,161 bhp,2017 (67),72.4,Saloon,BLACK SAPPHIRE,1.0,Euro 6,£199,"£14,000",102 g/km,23-08-2022,,,
585,3 Series,Petrol,2.0L,Manual,"44,261 miles",4,181 bhp,2017 (17),48.7,Saloon,MELBOURNE RED,2.0,Euro 6,£199,"£14,000",134 g/km,01-10-2022,,,
586,1 Series,Petrol,1.5L,Manual,"24,555 miles",5,134 bhp,2017 (67),56.5,Hatchback,JET BLACK,1.0,Euro 6,£199,"£14,000",116 g/km,18-09-2022,,,
587,1 Series,Diesel,1.5L,Manual,"38,976 miles",5,114 bhp,2017 (67),78.5,Hatchback,WHITE,1.0,Euro 6,£199,"£13,950",94 g/km,28-12-2021,,,
588,3 Series,Diesel,2.0L,Manual,"37,824 miles",4,188 bhp,2016 (66),67.3,Saloon,BLACK SAPPHIRE,2.0,Euro 6,£199,"£13,950",111 g/km,10-11-2021,,,
589,1 Series,Diesel,1.5L,Manual,"30,743 miles",5,114 bhp,2017 (67),83.1,Hatchback,ALPINE WHITE,2.0,Euro 6,£199,"£13,950",89 g/km,13-09-2022,,,
590,3 Series,Diesel,2.0L,Automatic,"62,210 miles",4,161 bhp,2016 (16),74.3,Saloon,MINERAL WHITE,1.0,Euro 6,£199,"£13,900",99 g/km,07-04-2022,BLACK DAKOTA LEATHER,,
591,3 Series,Diesel,2.0L,Manual,"28,603 miles",4,141 bhp,2014 (64),62.8,Saloon,ESTORIL BLUE,2.0,,£199,"£13,900",118 g/km,22-10-2022,BLACK DAKOTA LEATHER,Euro 5,
592,3 Series,Petrol,1.5L,Manual,"40,027 miles",4,134 bhp,2016 (66),52.3,Saloon,JET BLACK,2.0,Euro 6,£199,"£13,900",124 g/km,24-03-2022,,,
593,1 Series,Petrol,1.5L,Manual,"23,008 miles",5,134 bhp,2017 (17),53.3,Hatchback,MINERAL WHITE,2.0,Euro 6,£199,"£13,900",123 g/km,29-12-2021,,,
594,2 Series,Diesel,2.0L,Manual,"41,254 miles",5,148 bhp,2016 (16),68.9,Hatchback,WHITE,2.0,Euro 6,£199,"£13,800",109 g/km,18-11-2021,,,
595,1 Series,Diesel,2.0L,Manual,"40,886 miles",5,147 bhp,2017 (66),68.9,Hatchback,GREY,2.0,Euro 6,£199,"£13,800",109 g/km,25-01-2022,,,
596,1 Series,Diesel,1.5L,Manual,"47,934 miles",5,114 bhp,2018 (18),53.3,Hatchback,GREY,1.0,Euro 6,£199,"£13,750",111 g/km,28-06-2022,,,
597,2 Series,Petrol,1.5L,Manual,"75,864 miles",5,134 bhp,2017 (67),55.4,Hatchback,GREY,1.0,Euro 6,£199,"£13,700",119 g/km,13-10-2022,,,
598,1 Series,Diesel,1.5L,Manual,"57,526 miles",5,114 bhp,2018 (67),72.4,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£13,700",103 g/km,01-02-2022,,,
599,3 Series,Diesel,2.0L,Manual,"55,341 miles",4,148 bhp,2017 (17),64.2,Saloon,BLUE,2.0,Euro 6,£199,"£13,700",116 g/km,20-04-2022,,,
600,3 Series,Diesel,2.0L,Manual,"60,503 miles",4,161 bhp,2016 (66),72.4,Saloon,Mediterranean Blue,2.0,Euro 6,£199,"£13,650",102 g/km,08-12-2021,OYSTER DAKOTA LEATHER,,
601,2 Series,Diesel,2.0L,Automatic,"57,324 miles",2,148 bhp,2015 (65),68.9,Coupe,WHITE,1.0,Euro 6,£199,"£13,500",108 g/km,20-07-2022,,,
602,3 Series,Diesel,2.0L,Manual,"68,742 miles",4,188 bhp,2016 (16),64.2,Saloon,WHITE,2.0,Euro 6,£199,"£13,500",116 g/km,24-01-2022,,,
603,2 Series,Petrol,1.5L,Manual,"45,311 miles",5,138 bhp,2018 (18),44.1,Hatchback,GREY,1.0,Euro 6,£199,"£13,500",132 g/km,05-08-2022,,,
604,4 Series,Diesel,2.0L,Automatic,"87,712 miles",2,188 bhp,2016 (66),70.6,Coupe,BLACK SAPPHIRE,2.0,Euro 6,£199,"£13,400",106 g/km,29-11-2021,BLACK DAKOTA LEATHER,,
605,3 Series,Petrol,1.5L,Manual,"40,699 miles",4,134 bhp,2016 (16),52.3,Saloon,ALPINE WHITE,,Euro 6,£199,"£13,400",124 g/km,05-07-2022,,,
606,3 Series,Diesel,2.0L,Manual,"41,271 miles",4,148 bhp,2016 (65),67.3,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£13,300",111 g/km,05-03-2022,,,
607,3 Series,Diesel,2.0L,Manual,"51,272 miles",4,114 bhp,2017 (67),68.9,Saloon,MINERAL WHITE,1.0,Euro 6,£199,"£13,250",109 g/km,11-09-2022,,,
608,3 Series,Diesel,2.0L,Manual,"51,038 miles",4,114 bhp,2016 (66),68.9,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£13,250",109 g/km,27-11-2021,,,
609,2 Series,Diesel,2.0L,Manual,"34,631 miles",5,148 bhp,2015 (15),68.9,Hatchback,WHITE,,Euro 6,£199,"£13,200",109 g/km,08-01-2022,,,
610,2 Series,Diesel,2.0L,Manual,"42,195 miles",5,148 bhp,2016 (66),68.9,Hatchback,WHITE,1.0,Euro 6,£199,"£13,150",109 g/km,23-10-2022,,,
611,3 Series,Diesel,2.0L,Manual,"67,920 miles",4,181 bhp,2014 (64),57.7,Saloon,BLUE,,,£199,"£13,100",128 g/km,16-07-2022,,Euro 5,
612,3 Series,Diesel,2.0L,Manual,"61,829 miles",4,114 bhp,2016 (66),68.9,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£13,100",109 g/km,18-10-2022,,,
613,3 Series,Diesel,2.0L,Manual,"79,954 miles",5,114 bhp,2018 (67),64.2,Estate,SILVER,2.0,Euro 6,£199,"£13,100",116 g/km,09-02-2022,,,
614,1 Series,Diesel,1.5L,Manual,"54,230 miles",5,114 bhp,2018 (68),78.5,Hatchback,JET BLACK,1.0,Euro 6,£199,"£13,100",94 g/km,,BLACK DAKOTA LEATHER,,
615,1 Series,Diesel,1.5L,Manual,"43,082 miles",5,114 bhp,2018 (68),78.5,Hatchback,GREY,2.0,Euro 6,£199,"£13,000",94 g/km,14-09-2022,,,
616,2 Series,Diesel,2.0L,Manual,"48,893 miles",5,148 bhp,2015 (65),68.9,Hatchback,GREY,2.0,Euro 6,£199,"£12,900",109 g/km,30-12-2021,,,
617,3 Series,Diesel,2.0L,Manual,"60,561 miles",4,161 bhp,2016 (16),72.4,Saloon,BLACK SAPPHIRE,1.0,Euro 6,£199,"£12,900",102 g/km,31-01-2022,BLACK DAKOTA LEATHER,,
618,2 Series,Diesel,2.0L,Manual,"46,206 miles",2,148 bhp,2016 (16),65.7,Coupe,WHITE,2.0,Euro 6,£199,"£12,800",113 g/km,01-11-2022,,,
619,1 Series,Diesel,1.5L,Manual,"33,928 miles",5,114 bhp,2015 (65),72.4,Hatchback,RED,,Euro 6,£199,"£12,800",103 g/km,23-11-2022,,,
620,1 Series,Diesel,1.5L,Manual,"31,387 miles",5,114 bhp,2017 (17),83.1,Hatchback,Mediterranean Blue,1.0,Euro 6,£199,"£12,750",89 g/km,29-12-2021,,,
621,1 Series,Diesel,1.5L,Manual,"32,331 miles",5,114 bhp,2017 (67),78.5,Hatchback,WHITE,1.0,Euro 6,£199,"£12,600",94 g/km,16-09-2022,,,
622,3 Series,Petrol,2.0L,Manual,"76,500 miles",4,181 bhp,2016 (16),48.7,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£12,500",134 g/km,14-04-2022,,,
623,1 Series,Diesel,1.5L,Manual,"59,223 miles",5,114 bhp,2017 (67),78.5,Hatchback,JET BLACK,2.0,Euro 6,£199,"£12,300",94 g/km,14-11-2022,,,
624,1 Series,Diesel,1.5L,Manual,"64,139 miles",3,114 bhp,2016 (66),70.6,Hatchback,MINERAL GREY,,Euro 6,£199,"£12,300",106 g/km,12-09-2022,,,
625,2 Series,Diesel,2.0L,Manual,"70,434 miles",5,148 bhp,2017 (17),68.9,Hatchback,WHITE,,Euro 6,£199,"£12,100",109 g/km,07-03-2022,,,
626,1 Series,Diesel,2.0L,Manual,"50,670 miles",5,147 bhp,2015 (15),68.9,Hatchback,WHITE,,Euro 6,£199,"£11,950",109 g/km,17-12-2021,,,
627,2 Series,Diesel,1.5L,Manual,"63,962 miles",5,114 bhp,2017 (17),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£11,950",99 g/km,13-07-2022,,,
628,1 Series,Diesel,2.0L,Manual,"63,986 miles",5,147 bhp,2016 (66),68.9,Hatchback,RED,2.0,Euro 6,£199,"£11,900",109 g/km,21-12-2021,,,
629,2 Series,Petrol,1.5L,Manual,"62,033 miles",2,134 bhp,2015 (65),50.4,Coupe,MINERAL GREY,,Euro 6,£199,"£11,900",130 g/km,27-09-2022,,,
630,1 Series,Diesel,2.0L,Manual,"30,410 miles",5,114 bhp,2015 (15),65.7,Hatchback,BLACK,,,£199,"£11,800",114 g/km,24-03-2022,,Euro 5,
631,1 Series,Diesel,1.5L,Manual,"55,070 miles",5,114 bhp,2015 (65),83.1,Hatchback,Mediterranean Blue,2.0,Euro 6,£199,"£11,700",89 g/km,07-12-2021,,,
632,1 Series,Diesel,1.5L,Manual,"57,552 miles",5,114 bhp,2015 (65),72.4,Hatchback,BLACK,,Euro 6,£199,"£11,400",103 g/km,19-04-2022,,,
633,1 Series,Diesel,1.5L,Manual,"48,177 miles",5,114 bhp,2015 (65),83.1,Hatchback,MIDNIGHT BLUE,,Euro 6,£199,"£11,300",89 g/km,14-09-2022,,,
634,1 Series,Petrol,1.5L,Manual,"59,313 miles",5,134 bhp,2015 (65),53.3,Hatchback,CRIMSON RED,2.0,Euro 6,£199,"£11,250",123 g/km,27-01-2022,,,
635,1 Series,Diesel,1.5L,Manual,"49,488 miles",5,114 bhp,2015 (65),83.1,Hatchback,SILVER,2.0,Euro 6,£199,"£11,100",89 g/km,08-11-2022,,,
636,3 Series,Diesel,2.0L,Manual,"82,364 miles",5,114 bhp,2016 (16),64.2,Estate,Platinum Silver Metallic,1.0,Euro 6,£199,"£11,100",116 g/km,26-09-2022,,,
637,2 Series,Diesel,1.5L,Manual,"69,949 miles",5,114 bhp,2017 (17),74.3,Hatchback,WHITE,1.0,Euro 6,£199,"£11,000",99 g/km,28-10-2022,,,
638,2 Series,Diesel,1.5L,Manual,"73,605 miles",5,114 bhp,2016 (65),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£10,300",99 g/km,07-12-2021,,,
